Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Albany,Weekly,1/4/2021 0:00,Conventional,0.85,183736.86,7960.17,149597.06,84.41,20523.93,16700.07,1037.19,2786.67,5571.29
Atlanta,Weekly,1/4/2021 0:00,Conventional,0.77,863924.39,339750.67,50361.11,90.12,174050.18,171857.45,2152.73,40,299672.31
Baltimore/Washington,Weekly,1/4/2021 0:00,Conventional,0.94,1148720.46,244350.06,306121.25,3905.09,495777,307722.83,169324.17,18730,98567.06
Boise,Weekly,1/4/2021 0:00,Conventional,0.81,167339.56,41349.05,16139.39,1292.01,34234.06,21524.28,12691.87,17.91,74325.05
Boston,Weekly,1/4/2021 0:00,Conventional,1.14,790638.79,15877.34,433198.2,205.55,212077.7,198535.73,8861.97,4680,129280
Buffalo/Rochester,Weekly,1/4/2021 0:00,Conventional,0.95,224480.3,33473.77,66524.94,1989.09,118215.36,79839.7,33635.66,4740,4277.14
California,Weekly,1/4/2021 0:00,Conventional,0.95,8330243.54,2202669.14,943923.74,289031.24,1273146.51,1080473.44,135837.4,56835.67,3621472.91
Charlotte,Weekly,1/4/2021 0:00,Conventional,0.91,445868.47,165208.69,57001.73,4650.42,189496.84,163631.87,25844.97,20,29510.79
Chicago,Weekly,1/4/2021 0:00,Conventional,1.07,1010514.74,113620.98,191053.37,42629.3,208596.22,206021.64,2561.25,13.33,454614.87
Cincinnati/Dayton,Weekly,1/4/2021 0:00,Conventional,0.74,404789.04,62126.92,76192.36,4978.67,29339.95,29334.39,5.56,0,232151.14
Columbus,Weekly,1/4/2021 0:00,Conventional,0.74,322982.07,54032.69,59556.9,612.24,38595,38551.67,33.33,10,170185.24
Dallas/Ft. Worth,Weekly,1/4/2021 0:00,Conventional,0.61,1812802.1,541713.93,296703.52,26858.93,494960.75,339149.39,155448.03,363.33,452564.97
Denver,Weekly,1/4/2021 0:00,Conventional,0.79,1216868.36,215979.19,150990.28,2864.09,238164.4,217280.98,20828.84,54.58,608870.4
Detroit,Weekly,1/4/2021 0:00,Conventional,0.75,714372.32,92243.75,111173.01,123047.87,100549.73,99603.63,942.77,3.33,287357.96
Grand Rapids,Weekly,1/4/2021 0:00,Conventional,0.83,326681.52,23905.47,93678.44,130951.96,47444.58,47346.81,94.44,3.33,30701.07
Great Lakes,Weekly,1/4/2021 0:00,Conventional,0.82,5695256.73,845238.6,1180793.41,518673.31,913118.84,890325,22489.95,303.89,2237432.57
Harrisburg/Scranton,Weekly,1/4/2021 0:00,Conventional,0.98,413476.67,161733.81,110781,98.4,131005.23,118916.92,2398.31,9690,9858.23
Hartford/Springfield,Weekly,1/4/2021 0:00,Conventional,1.07,442462.01,10584.57,331444,378.23,93406.77,80091.41,9428.69,3886.67,6648.44
Houston,Weekly,1/4/2021 0:00,Conventional,0.6,1701262.3,501816.98,429487.35,2845.45,259129.12,180168.89,69193.56,9766.67,507983.4
Indianapolis,Weekly,1/4/2021 0:00,Conventional,0.72,318474.93,55445.1,82164.77,2646.12,59586.91,59429.69,130.55,26.67,118632.03
Jacksonville,Weekly,1/4/2021 0:00,Conventional,0.75,265445.51,116151.73,14339.79,61.15,64922.93,34136.51,22701.42,8085,69969.91
Las Vegas,Weekly,1/4/2021 0:00,Conventional,0.69,518401.52,62120.94,58350.62,302.09,126774.14,97985.94,28684.03,104.17,270853.73
Los Angeles,Weekly,1/4/2021 0:00,Conventional,0.87,4113373.54,1101283.09,85458.38,221677.97,617855.48,473346.92,99667.36,44841.2,2087098.62
Louisville,Weekly,1/4/2021 0:00,Conventional,0.82,162705.26,26292.81,27778.63,71.26,31706.46,27716.46,44.44,3945.56,76856.1
Miami/Ft. Lauderdale,Weekly,1/4/2021 0:00,Conventional,0.76,1113009.83,534674.7,54952.13,100.9,237688.72,176170.66,57879.17,3638.89,285593.38
Midsouth,Weekly,1/4/2021 0:00,Conventional,0.85,5026216.53,1562243.94,871984.66,18933.87,1629870.25,1185873.9,363681.91,80314.44,943183.81
Nashville,Weekly,1/4/2021 0:00,Conventional,0.75,339862.38,116956.66,22737.59,112.9,79101.66,67884.48,1942.18,9275,120953.57
