Geography,Segment,Variety,Timeframe,Period,Current Year Week Ending,Units Prior Year,Units Current Year,Unit Variance,Dollars Prior Year,Dollars Current Year,Dollar Variance,ASP Prior Year,ASP Current Year,ASP Variance
California,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,28210350,32841325,0.164,32627821,36329689,0.113,1.16,1.11,-0.044
Great Lakes,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,20595213,23812467,0.156,19860022,21352942,0.075,0.96,0.9,-0.07
Midsouth,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,18475949,21313972,0.154,18722366,19668640,0.051,1.01,0.92,-0.089
Northeast,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,24916925,30593641,0.228,30056373,31594774,0.051,1.21,1.03,-0.144
Plains,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,9255175,11745524,0.269,9552605,9444237,-0.011,1.03,0.8,-0.221
South Central,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,32660758,35358601,0.083,23855187,23624225,-0.01,0.73,0.67,-0.085
Southeast,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,27444524,27013222,-0.016,24538713,21772872,-0.113,0.89,0.81,-0.099
Total U.S.,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,195940463,221320736,0.13,191887990,196263222,0.023,0.98,0.89,-0.094
West,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,34381568,38641985,0.124,32674903,32475842,-0.006,0.95,0.84,-0.116
Albany,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,609084,707246,0.161,612012,736995,0.204,1,1.04,0.037
Atlanta,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,3527317,3733709,0.059,3225306,3082839,-0.044,0.91,0.83,-0.097
Baltimore/Washington,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,4402281,5014876,0.139,5307997,5331612,0.004,1.21,1.06,-0.118
Boise,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,559184,676816,0.21,575462,619342,0.076,1.03,0.92,-0.111
Boston,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,3132444,3818549,0.219,3863027,4580420,0.186,1.23,1.2,-0.027
Buffalo/Rochester,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,898434,1058292,0.178,931302,1045525,0.123,1.04,0.99,-0.047
Charlotte,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,1468854,1745702,0.188,1567181,1687437,0.077,1.07,0.97,-0.094
Chicago,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,3801223,4783129,0.258,4867941,5225991,0.074,1.28,1.09,-0.147
Cincinnati/Dayton,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,1599012,1649403,0.032,1328879,1398209,0.052,0.83,0.85,0.02
Columbus,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,1168116,1281220,0.097,922844,1050141,0.138,0.79,0.82,0.037
Dallas/Ft. Worth,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,6943361,7612734,0.096,4792369,4931183,0.029,0.69,0.65,-0.062
Denver,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,4530507,5174133,0.142,4338600,4470611,0.03,0.96,0.86,-0.098
Detroit,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,2640825,2862031,0.084,2258652,2439394,0.08,0.86,0.85,-0.003
Grand Rapids,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,910820,1241018,0.363,1075282,1222652,0.137,1.18,0.99,-0.165
Harrisburg/Scranton,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,1619107,1879282,0.161,1616215,1832676,0.134,1,0.98,-0.023
Hartford/Springfield,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,1511239,1981169,0.311,2128248,2296041,0.079,1.41,1.16,-0.177
Houston,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,6599280,6637810,0.006,4262988,4404357,0.033,0.65,0.66,0.027
Indianapolis,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,1275529,1337218,0.048,1042614,1063925,0.02,0.82,0.8,-0.027
Jacksonville,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,1242417,1079278,-0.131,1108146,885941,-0.201,0.89,0.82,-0.08
Las Vegas,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,1670934,1976569,0.183,1509347,1596099,0.057,0.9,0.81,-0.106
Los Angeles,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,13032402,15687679,0.204,14206654,16639772,0.171,1.09,1.06,-0.027
Louisville,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,642098,673004,0.048,561146,595137,0.061,0.87,0.88,0.012
Miami/FT. Lauderdale,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,5231676,4789684,-0.084,4704048,3933415,-0.164,0.9,0.82,-0.087
Nashville,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,1315335,1445450,0.099,1093880,1178905,0.078,0.83,0.82,-0.019
New Orleans/Mobile,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,1603347,1772326,0.105,1344529,1219565,-0.093,0.84,0.69,-0.179
New York,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,8403979,10850986,0.291,11466776,11097504,-0.032,1.36,1.02,-0.25
Northern New England,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,2905613,3317544,0.142,2894681,3231831,0.116,1,0.97,-0.022
Orlando,Avocados,Hass,Last 04 Wks,1,1/24/2021 0:00,2924862,2781595,-0.049,2544404,2178486,-0.144,0.87,0.78,-0.1
